Gene,HRA_LFC,HRA_sig,RZV_D14,RZV_D74,RZV_D365,Direction
ABCE1,0.31,***,0.1,0.0,-0.1,CONCORDANT ↑
AHNAK,1.09,***,-0.2,0.8,-0.3,OPPOSITE (HZ↑ RZV↓)
LBH,0.54,***,0.3,0.2,-0.5,CONCORDANT ↑
YPEL5,-0.53,**,0.6,0.4,0.5,OPPOSITE (HZ↓ RZV↑)
ZMAT2,0.51,***,0.4,0.2,0.1,CONCORDANT ↑
TRAM1,0.31,***,-0.2,-0.1,0.4,OPPOSITE (HZ↑ RZV↓)
BAIAP2L1,-2.32,***,-1.3,-1.8,0.5,CONCORDANT ↓
RPLP0,0.47,***,-0.2,-0.3,-0.1,OPPOSITE (HZ↑ RZV↓)
EIF6,1.0,***,0.2,0.0,0.1,CONCORDANT ↑
GUK1,-0.41,***,-0.0,0.0,0.1,CONCORDANT ↓
RPL9,2.78,***,-0.2,-0.1,-0.1,OPPOSITE (HZ↑ RZV↓)
STK17A,0.29,***,-0.6,-0.7,-0.0,OPPOSITE (HZ↑ RZV↓)
MED11,0.33,***,0.2,-0.2,0.1,CONCORDANT ↑
ATP2B4,0.68,***,1.3,1.4,0.5,CONCORDANT ↑
TC2N,0.42,***,-0.6,0.3,-0.2,OPPOSITE (HZ↑ RZV↓)
UBE2N,0.39,***,-0.2,-0.3,-0.1,OPPOSITE (HZ↑ RZV↓)
TRIM38,0.39,***,0.0,-0.7,0.4,CONCORDANT ↑
PIM1,0.29,***,0.1,0.2,-0.4,CONCORDANT ↑
ECI2,0.28,***,0.1,-0.4,0.8,CONCORDANT ↑
SEC61B,0.26,***,-0.2,-0.3,-0.1,OPPOSITE (HZ↑ RZV↓)
CCT6A,0.35,***,-0.1,-0.2,0.0,OPPOSITE (HZ↑ RZV↓)
SLC25A37,-0.74,*,-0.4,-0.5,-0.9,CONCORDANT ↓
AHSA1,0.29,***,0.2,0.1,-0.0,CONCORDANT ↑
RBM8A,-0.42,***,-0.3,-0.2,0.0,CONCORDANT ↓
NIFK,0.36,***,0.1,-0.2,0.0,CONCORDANT ↑
CRIPT,0.41,***,1.3,0.7,1.2,CONCORDANT ↑
SYTL2,0.28,***,-0.2,3.2,1.5,OPPOSITE (HZ↑ RZV↓)
PHB2,0.43,***,0.1,-0.2,0.1,CONCORDANT ↑
SBNO1,0.27,***,-0.0,-0.1,-0.2,OPPOSITE (HZ↑ RZV↓)
COA6,0.41,***,0.7,0.4,0.0,CONCORDANT ↑
APOBEC3G,0.88,***,-0.4,-0.1,0.3,OPPOSITE (HZ↑ RZV↓)
PRKDC,0.3,***,-0.1,0.1,-0.3,OPPOSITE (HZ↑ RZV↓)
G3BP1,0.54,***,-0.2,-0.4,-0.3,OPPOSITE (HZ↑ RZV↓)
BIRC3,0.29,***,-0.5,-0.7,-0.3,OPPOSITE (HZ↑ RZV↓)
HSPH1,0.38,***,-0.3,-0.3,-0.3,OPPOSITE (HZ↑ RZV↓)
SRP19,-0.26,***,0.1,-0.0,0.3,OPPOSITE (HZ↓ RZV↑)
WSB1,0.36,***,0.1,0.4,0.3,CONCORDANT ↑
ZFAND2B,-0.31,***,0.7,0.5,0.9,OPPOSITE (HZ↓ RZV↑)
GNPTG,-0.28,***,0.0,-0.1,0.4,OPPOSITE (HZ↓ RZV↑)
DUSP2,-2.76,***,-0.0,-0.4,-0.3,CONCORDANT ↓
EPS15,0.36,***,0.2,0.9,0.3,CONCORDANT ↑
CALM3,-0.28,***,0.4,0.0,0.5,OPPOSITE (HZ↓ RZV↑)
TSR2,-0.43,***,-0.2,-0.3,0.4,CONCORDANT ↓
ACADVL,-0.29,***,0.0,0.3,1.2,OPPOSITE (HZ↓ RZV↑)
NDUFS4,0.33,***,0.1,0.1,0.2,CONCORDANT ↑
RAP1A,0.36,***,0.3,0.1,0.1,CONCORDANT ↑
TMEM9B,-0.31,***,1.3,1.0,1.1,OPPOSITE (HZ↓ RZV↑)
DDX39A,-0.35,***,-0.3,-0.3,-0.1,CONCORDANT ↓
ZDHHC20,0.38,***,-0.1,0.1,0.0,OPPOSITE (HZ↑ RZV↓)
RPL3,1.07,***,-0.5,-0.4,-0.2,OPPOSITE (HZ↑ RZV↓)
PMAIP1,-0.93,***,-0.6,-0.4,-0.1,CONCORDANT ↓
CAMLG,-0.5,**,0.5,-0.0,0.3,OPPOSITE (HZ↓ RZV↑)
OGA,-1.28,***,0.9,0.8,0.6,OPPOSITE (HZ↓ RZV↑)
XRCC5,0.42,***,-0.3,-0.4,-0.2,OPPOSITE (HZ↑ RZV↓)
SMDT1,-0.28,***,-0.0,-0.2,-0.1,CONCORDANT ↓
OSTF1,0.28,***,0.8,0.6,0.5,CONCORDANT ↑
RPS28,0.99,***,-0.2,-0.5,0.1,OPPOSITE (HZ↑ RZV↓)
UPF3A,-0.31,***,1.4,0.6,0.5,OPPOSITE (HZ↓ RZV↑)
PTGES3,0.65,***,-0.2,-0.5,-0.0,OPPOSITE (HZ↑ RZV↓)
MUS81,0.36,***,2.3,2.4,2.3,CONCORDANT ↑
MGST3,0.45,***,-1.1,-0.5,-0.3,OPPOSITE (HZ↑ RZV↓)
MAP3K8,-1.32,***,0.3,0.3,0.5,OPPOSITE (HZ↓ RZV↑)
TNRC6B,-0.27,***,0.1,0.0,-0.6,OPPOSITE (HZ↓ RZV↑)
MT-ATP6,-0.34,***,-0.4,-0.2,-0.1,CONCORDANT ↓
ACTR3,1.11,***,0.1,0.0,0.1,CONCORDANT ↑
OCIAD2,-0.27,***,0.5,0.9,0.0,OPPOSITE (HZ↓ RZV↑)
NSA2,0.6,***,0.2,-0.1,0.0,CONCORDANT ↑
EEF1B2,0.77,***,-0.3,-0.3,-0.2,OPPOSITE (HZ↑ RZV↓)
EIF4H,-0.33,***,-0.3,-0.0,-0.2,CONCORDANT ↓
TGOLN2,0.39,***,0.6,0.6,-0.1,CONCORDANT ↑
S1PR1,0.5,***,-1.3,-0.7,-0.7,OPPOSITE (HZ↑ RZV↓)
FNTA,0.38,***,0.1,0.2,0.2,CONCORDANT ↑
RPS3,1.07,***,-0.3,-0.4,-0.2,OPPOSITE (HZ↑ RZV↓)
PTPN6,0.3,***,-0.2,-0.2,-0.7,OPPOSITE (HZ↑ RZV↓)
PSMB6,-0.31,***,-0.1,-0.1,0.1,CONCORDANT ↓
UBLCP1,0.56,***,0.2,0.1,0.3,CONCORDANT ↑
CAMTA1,-0.29,***,0.0,-0.2,0.1,OPPOSITE (HZ↓ RZV↑)
NUP50,0.27,***,-0.0,0.1,-0.0,OPPOSITE (HZ↑ RZV↓)
YY1,-0.27,***,0.2,-0.0,-0.6,OPPOSITE (HZ↓ RZV↑)
OTUD5,-0.27,***,1.0,0.6,1.0,OPPOSITE (HZ↓ RZV↑)
MGAT4A,-0.96,***,-0.8,-0.4,-0.4,CONCORDANT ↓
COPZ1,0.35,***,0.5,0.1,0.5,CONCORDANT ↑
PLEKHF1,0.31,***,7.2,4.9,5.4,CONCORDANT ↑
ARHGAP4,0.41,***,1.3,0.1,-3.8,CONCORDANT ↑
SPCS2,0.41,***,-0.1,-0.2,0.2,OPPOSITE (HZ↑ RZV↓)
IDI1,-0.26,***,-0.2,-0.2,0.2,CONCORDANT ↓
METTL5,0.29,***,-0.1,-0.1,0.1,OPPOSITE (HZ↑ RZV↓)
ERAP1,0.26,***,0.1,0.2,0.4,CONCORDANT ↑
ELF1,-0.29,***,-0.5,-0.4,-0.2,CONCORDANT ↓
SCP2,0.33,***,0.0,0.1,0.3,CONCORDANT ↑
CCNH,-0.29,***,-0.0,-0.4,0.1,CONCORDANT ↓
PRR5L,0.47,***,0.7,1.1,-0.4,CONCORDANT ↑
XRN1,0.37,***,0.2,0.3,0.4,CONCORDANT ↑
SAT1,-0.97,***,0.0,-0.1,0.0,OPPOSITE (HZ↓ RZV↑)
DYNC1H1,0.58,***,0.0,-0.1,-0.1,CONCORDANT ↑
SEC11A,0.34,***,1.0,1.1,0.9,CONCORDANT ↑
LTB,-0.35,***,0.3,-0.3,-0.3,OPPOSITE (HZ↓ RZV↑)
CTSW,-0.96,***,-2.1,-2.8,-2.7,CONCORDANT ↓
NDUFB3,0.71,***,0.2,-0.1,0.2,CONCORDANT ↑
HLA-DPA1,0.3,***,-0.6,0.3,0.0,OPPOSITE (HZ↑ RZV↓)
MRPL52,0.55,***,-0.1,-0.2,-0.1,OPPOSITE (HZ↑ RZV↓)
EHBP1L1,-0.44,***,0.0,0.5,-0.5,OPPOSITE (HZ↓ RZV↑)
PLEK,1.26,***,-0.8,-0.9,-0.2,OPPOSITE (HZ↑ RZV↓)
AATF,-0.26,***,0.4,0.2,0.3,OPPOSITE (HZ↓ RZV↑)
TGFBR1,0.38,***,-0.5,-0.3,0.1,OPPOSITE (HZ↑ RZV↓)
GDI2,0.6,***,-0.2,-0.3,-0.0,OPPOSITE (HZ↑ RZV↓)
ISG15,-0.37,***,0.1,-0.4,-0.1,OPPOSITE (HZ↓ RZV↑)
COA4,0.28,***,-0.2,-0.1,-0.3,OPPOSITE (HZ↑ RZV↓)
UQCRFS1,-0.38,***,0.3,0.2,-0.1,OPPOSITE (HZ↓ RZV↑)
NFATC2,0.33,***,1.3,1.4,0.3,CONCORDANT ↑
ITGA4,-0.32,***,0.9,1.1,0.2,OPPOSITE (HZ↓ RZV↑)
RBX1,0.6,***,0.1,0.0,-0.2,CONCORDANT ↑
IL7R,0.65,***,-1.2,-0.7,-1.0,OPPOSITE (HZ↑ RZV↓)
HSP90AA1,0.68,***,-0.2,-0.3,-0.3,OPPOSITE (HZ↑ RZV↓)
PPIA,0.9,***,-0.3,-0.3,-0.1,OPPOSITE (HZ↑ RZV↓)
SUMO3,-0.34,***,0.2,0.2,0.1,OPPOSITE (HZ↓ RZV↑)
HMGB1,-0.4,*,-0.3,-0.3,0.3,CONCORDANT ↓
PDHA1,0.3,***,0.2,0.0,0.2,CONCORDANT ↑
KDELR1,0.34,***,-0.1,-0.4,-0.4,OPPOSITE (HZ↑ RZV↓)
NMT1,-0.25,***,-0.2,-0.0,0.2,CONCORDANT ↓
MYL12A,0.52,***,-0.3,-0.5,0.1,OPPOSITE (HZ↑ RZV↓)
HADHA,0.4,***,0.5,0.7,0.2,CONCORDANT ↑
EIF4A2,0.47,***,-0.2,-0.3,0.3,OPPOSITE (HZ↑ RZV↓)
UQCRC2,0.32,***,0.5,0.3,0.1,CONCORDANT ↑
LUC7L3,0.25,***,0.1,-0.0,0.0,CONCORDANT ↑
GOPC,0.39,***,0.3,0.5,0.4,CONCORDANT ↑
CD164,0.62,***,0.2,0.3,0.4,CONCORDANT ↑
LAPTM4A,-0.35,***,-0.1,-0.3,0.2,CONCORDANT ↓
PARP9,0.34,***,-0.6,-1.1,-0.9,OPPOSITE (HZ↑ RZV↓)
GRK6,-0.38,***,0.4,0.3,0.6,OPPOSITE (HZ↓ RZV↑)
TMC8,-0.28,***,0.5,-0.1,-1.0,OPPOSITE (HZ↓ RZV↑)
BCL7C,0.74,***,0.3,0.9,1.2,CONCORDANT ↑
SAMD9,0.77,***,-0.5,-0.1,0.3,OPPOSITE (HZ↑ RZV↓)
ANKRD49,-0.28,***,0.7,0.3,0.6,OPPOSITE (HZ↓ RZV↑)
IL2RB,0.28,***,-0.9,0.1,-1.6,OPPOSITE (HZ↑ RZV↓)
CREB1,-0.35,***,0.3,0.0,0.2,OPPOSITE (HZ↓ RZV↑)
EIF3E,0.46,***,0.0,-0.1,0.0,CONCORDANT ↑
LNPEP,0.74,***,0.7,0.6,0.5,CONCORDANT ↑
MALAT1,-0.93,***,-0.5,-0.4,-0.3,CONCORDANT ↓
RESF1,-1.19,***,-0.1,-0.1,0.1,CONCORDANT ↓
CIB1,0.26,***,0.1,0.1,0.0,CONCORDANT ↑
ZNF428,-0.29,***,0.3,0.1,0.2,OPPOSITE (HZ↓ RZV↑)
RPLP1,0.42,***,-0.1,-0.2,-0.3,OPPOSITE (HZ↑ RZV↓)
YWHAE,0.27,***,0.1,-0.0,0.1,CONCORDANT ↑
EMC10,-0.34,***,-0.4,-0.3,-1.0,CONCORDANT ↓
SOAT1,0.34,***,-0.3,-0.2,-0.1,OPPOSITE (HZ↑ RZV↓)
ST3GAL5,-0.44,***,0.3,0.2,0.8,OPPOSITE (HZ↓ RZV↑)
RTRAF,0.41,***,0.1,-0.2,0.1,CONCORDANT ↑
MT-CYB,-0.71,***,-0.4,-0.3,-0.2,CONCORDANT ↓
XCL2,0.48,***,-1.7,-1.6,-0.0,OPPOSITE (HZ↑ RZV↓)
EOMES,0.43,***,2.0,2.7,0.8,CONCORDANT ↑
TM9SF2,0.33,***,0.4,0.3,0.1,CONCORDANT ↑
RPS25,0.68,***,-0.2,-0.3,-0.1,OPPOSITE (HZ↑ RZV↓)
SIT1,0.57,***,0.0,-0.6,0.4,CONCORDANT ↑
RPS13,0.6,***,-0.2,-0.3,-0.2,OPPOSITE (HZ↑ RZV↓)
TOB1,-0.28,***,0.1,-0.4,0.1,OPPOSITE (HZ↓ RZV↑)
PJA2,0.37,***,-0.3,-0.3,0.4,OPPOSITE (HZ↑ RZV↓)
DAZAP2,-1.09,***,0.0,-0.0,0.2,OPPOSITE (HZ↓ RZV↑)
CD84,0.5,***,-0.5,-0.4,-0.3,OPPOSITE (HZ↑ RZV↓)
GZMA,0.8,***,2.7,3.7,1.7,CONCORDANT ↑
PDCD4,0.37,***,-0.5,-0.7,-0.0,OPPOSITE (HZ↑ RZV↓)
SAFB,0.34,***,0.2,0.5,0.1,CONCORDANT ↑
BNIP2,0.33,***,-0.2,-0.1,0.1,OPPOSITE (HZ↑ RZV↓)
RAPGEF1,-0.33,**,1.0,1.1,0.8,OPPOSITE (HZ↓ RZV↑)
PTP4A2,2.1,***,0.1,0.2,-0.0,CONCORDANT ↑
TRIR,0.31,***,-0.0,-0.3,0.1,OPPOSITE (HZ↑ RZV↓)
CCNG1,0.25,***,0.3,0.5,0.8,CONCORDANT ↑
MED15,-0.35,***,0.8,0.6,0.3,OPPOSITE (HZ↓ RZV↑)
KRAS,0.52,***,0.0,-0.0,-0.0,CONCORDANT ↑
ENPP4,0.4,***,-1.1,-1.2,-0.5,OPPOSITE (HZ↑ RZV↓)
RBM5,0.36,***,0.1,0.3,-0.3,CONCORDANT ↑
CNOT6L,0.35,***,0.4,0.7,-0.6,CONCORDANT ↑
BRD4,-0.49,**,0.4,0.6,0.0,OPPOSITE (HZ↓ RZV↑)
BCAP29,0.67,***,0.1,-0.1,0.5,CONCORDANT ↑
FAM32A,-0.39,***,0.6,0.3,0.5,OPPOSITE (HZ↓ RZV↑)
GCLM,0.3,***,-0.7,-0.5,-0.5,OPPOSITE (HZ↑ RZV↓)
DDIT4,-1.5,***,-2.1,-1.8,-1.6,CONCORDANT ↓
SAMHD1,0.92,***,0.4,0.6,0.5,CONCORDANT ↑
TPT1,1.31,***,-0.3,-0.3,-0.3,OPPOSITE (HZ↑ RZV↓)
NCK1,0.37,***,-0.1,-0.0,0.2,OPPOSITE (HZ↑ RZV↓)
AZI2,0.27,***,-0.1,0.3,0.2,OPPOSITE (HZ↑ RZV↓)
H1-3,-1.73,***,3.2,2.5,3.7,OPPOSITE (HZ↓ RZV↑)
NDUFAF3,0.47,***,-0.7,-0.9,-0.3,OPPOSITE (HZ↑ RZV↓)
MT1F,0.36,***,3.6,1.4,-0.9,CONCORDANT ↑
CTDNEP1,0.69,***,-0.2,-0.1,-0.1,OPPOSITE (HZ↑ RZV↓)
RPL28,0.71,***,-0.2,-0.4,-0.2,OPPOSITE (HZ↑ RZV↓)
GLOD4,0.29,***,0.4,0.2,0.2,CONCORDANT ↑
CDC5L,0.34,***,-0.2,-0.1,-0.1,OPPOSITE (HZ↑ RZV↓)
TRIM56,0.25,***,0.6,0.6,-0.2,CONCORDANT ↑
SMC1A,0.29,***,-0.4,-0.3,-0.2,OPPOSITE (HZ↑ RZV↓)
GLUL,-0.79,*,-1.3,-1.8,-1.1,CONCORDANT ↓
KRT10,-0.39,***,-0.2,-0.3,0.0,CONCORDANT ↓
PSMB2,0.49,***,0.1,-0.0,0.2,CONCORDANT ↑
SERINC1,0.3,***,0.1,0.3,0.3,CONCORDANT ↑
