"","D14","D60","D74","D365"
"ENSG00000226963",0.00614148592822724,0.924893364940184,0.0413242130658313,0.873784395829176
"ENSG00000157483",0.00628729331134631,0.255466759225871,0.000816341645594783,0.054812843129123
"ENSG00000105278",0.00636451747736671,0.404279880874273,0.208459664954144,0.148477336928034
"ENSG00000026025",0.00636451747736671,0.798650107067242,0.134668978551198,0.0823050755283994
"ENSG00000100316",0.00636451747736671,0.772258240144972,0.0626225382428802,0.419373172855589
"ENSG00000174946",0.00636451747736671,0.387930812101209,0.14134540641063,0.0360226495874785
"ENSG00000187764",0.00653097570992519,0.384740970859248,0.435130124515845,0.0286676027911385
"ENSG00000167642",0.00680997919287785,0.83329189911777,0.0963865743821476,0.692317507822915
"ENSG00000197279",0.00718761710829868,0.28202781001453,0.0693072088696696,0.0606535099386156
"ENSG00000121964",0.00718761710829868,0.688313674200096,0.0142566761362752,0.183306997881879
"ENSG00000112419",0.00718761710829868,0.789071824857241,0.104531218093354,0.186579396156472
"ENSG00000088986",0.00718761710829868,0.599636720747322,0.229023596160273,0.524955292785472
"ENSG00000227170",0.00718761710829868,0.957898387631765,0.996479040000008,0.920490943605622
"ENSG00000105926",0.00718761710829868,0.387930812101209,0.019387997149125,0.0973023898440713
"ENSG00000115053",0.00784651391006372,0.684722610502416,0.0167258523379833,0.0675490409404319
"ENSG00000198786",0.00793426786786804,0.580298142403649,0.438764796945728,0.957835804070762
"ENSG00000138778",0.00816446824858322,0.5391835702834,0.0830649435691999,0.811001648782677
"ENSG00000136738",0.00818077339034634,0.255466759225871,0.197917164289129,0.22142724764891
"ENSG00000008517",0.00818077339034634,0.223518180008261,0.00729468739766155,0.393783889362079
"ENSG00000137267",0.00818077339034634,0.688458476567175,0.24101992721735,0.783045384152478
"ENSG00000185920",0.00818077339034634,0.255466759225871,0.0462553254841907,0.0606535099386156
"ENSG00000047634",0.00818077339034634,0.255466759225871,0.0250171668788684,0.0905071283612314
"ENSG00000266028",0.00818077339034634,0.396079638685172,0.0331594806552199,0.0670453979980054
"ENSG00000196230",0.00840730647475799,0.746701852564285,0.0648473702669407,0.511318602937407
"ENSG00000197321",0.00856989631245944,0.669130511888828,0.0908356871662992,0.630630813848357
"ENSG00000136111",0.00871384758112608,0.335847034729545,0.0383766856892732,0.865371264000879
"ENSG00000060982",0.00877383620203198,0.379107037880495,0.00880417684764659,0.705117160443785
"ENSG00000124574",0.00947096497267611,0.733479841096738,0.0194509762180916,0.0683385928329612
"ENSG00000074266",0.00947096497267611,0.255466759225871,0.0516967612322939,0.156648434948079
"ENSG00000123933",0.00952381702790239,0.954878918483755,0.109646591000288,0.411958849624405
"ENSG00000157557",0.00965030725170553,0.684722610502416,0.115861047703825,0.185281549005413
"ENSG00000189007",0.00965030725170553,0.772258240144972,0.137412720119231,0.829400045205896
"ENSG00000004468",0.00965030725170553,0.683024039290081,0.509841776605567,0.985116398807557
"ENSG00000134285",0.00990720420835637,0.280800127617085,0.0594016077680076,0.902474923480698
"ENSG00000111537",0.00996944712939736,0.404279880874273,0.0799110965813463,0.505556399315484
"ENSG00000131747",0.0100729714846813,0.599927715087431,0.0626225382428802,0.897799757131414
"ENSG00000155849",0.0103608090057295,0.115859107157511,0.0331594806552199,0.402357859727099
"ENSG00000176171",0.0103994754843918,0.772258240144972,0.0592188537907157,0.2556287694349
"ENSG00000224975",0.0105459933538092,0.84231689680731,0.23261712971968,0.351058927793355
"ENSG00000180530",0.0109746763161173,0.393064300527136,0.160003824644395,0.0606535099386156
"ENSG00000110848",0.0113772229188853,0.861533047897644,0.156026110939297,0.957957758024248
"ENSG00000226928",0.0118685746474365,0.846008429071223,0.196499539866253,0.292483392603762
"ENSG00000159110",0.0123230428017292,0.591482327651638,0.0296038774578022,0.367430411254359
"ENSG00000111912",0.0123230428017292,0.387930812101209,0.448135396166945,0.217132079017006
"ENSG00000150977",0.0127312922585106,0.972387763152491,0.22374226579059,0.388397971524938
"ENSG00000168283",0.0127312922585106,0.427058979672386,0.0450457123504178,0.472905827966259
"ENSG00000104267",0.0127312922585106,0.0999296944805091,0.0450457123504178,0.0073491618612041
"ENSG00000166289",0.0127312922585106,0.255466759225871,0.280639837279117,0.186579396156472
"ENSG00000164209",0.0128106976354355,0.404279880874273,0.0648473702669407,0.97802435457631
"ENSG00000213064",0.0128106976354355,0.992535573852774,0.0714951813596515,0.43556810084254
"ENSG00000125384",0.0128106976354355,0.335847034729545,0.0589598682892357,0.472905827966259
"ENSG00000102007",0.0128106976354355,0.989293282712313,0.672814764636527,0.824247091683187
"ENSG00000065809",0.0128106976354355,0.653820074224602,0.10221089246863,0.783744740367104
"ENSG00000215301",0.0130244394316579,0.396626530133821,0.102773647340422,0.618634109252373
"ENSG00000092820",0.0130299850527599,0.366771471270392,0.0519932694828237,0.186579396156472
"ENSG00000164398",0.013191572480063,0.387930812101209,0.0498004301931179,0.484714970523619
"ENSG00000117091",0.0132426120164731,0.59208582674643,0.137412720119231,0.570486151526068
"ENSG00000133104",0.0134635831080452,0.772258240144972,0.0350545496037573,0.296271628867061
"ENSG00000109321",0.0135752624594782,0.687934078635463,0.0908215680554331,0.261617559828912
"ENSG00000167553",0.0139164795390728,0.819450535502024,0.252910976665717,0.687028995041885
"ENSG00000237986",0.0139241746289444,0.954088609695836,0.00474333781039042,0.951978733369891
"ENSG00000274210",0.0143167168862166,0.951748049752951,0.306321652042186,0.665659557075212
"ENSG00000103994",0.0143167168862166,0.81666015250669,0.0670197253129148,0.238347372642048
"ENSG00000113845",0.0149106142933301,0.873870594761896,0.0579642731405749,0.806772967922075
"ENSG00000122705",0.0150564321374312,0.647044790700723,0.272540834784301,0.871181793896269
"ENSG00000165416",0.0150564321374312,0.566914607656429,0.104531218093354,0.288035273268417
"ENSG00000118971",0.0150564321374312,0.345287261039562,0.0634481059601067,0.0352740104583137
