gsm,title,cell type,donorid,tetramer,qc pass,visit
GSM7953669,1_DR0401_Baseline_lib40967,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953670,1_DR0401_Baseline_lib40968,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953671,1_DR0401_Baseline_lib40969,CD4 T cell,1,DR0401,FALSE,Baseline
GSM7953672,1_DR0401_Baseline_lib40970,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953673,1_DR0401_Baseline_lib40971,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953674,1_DR0401_Baseline_lib40972,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953675,1_DR0401_Baseline_lib40973,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953676,1_DR0401_Baseline_lib40974,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953677,1_DR0401_Baseline_lib40975,CD4 T cell,1,DR0401,FALSE,Baseline
GSM7953678,1_DR0401_Baseline_lib40977,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953679,1_DR0401_Baseline_lib40978,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953680,1_DR0401_Baseline_lib40979,CD4 T cell,1,DR0401,FALSE,Baseline
GSM7953681,1_DR0401_Baseline_lib40980,CD4 T cell,1,DR0401,FALSE,Baseline
GSM7953682,1_DR0401_Baseline_lib40981,CD4 T cell,1,DR0401,FALSE,Baseline
GSM7953683,1_DR0401_Baseline_lib40982,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953684,1_DR0401_Baseline_lib40983,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953685,1_DR0401_Baseline_lib40985,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953686,1_DR0701_Baseline_lib40987,CD4 T cell,1,DR0701,FALSE,Baseline
GSM7953687,1_DR0401_Baseline_lib40988,CD4 T cell,1,DR0401,FALSE,Baseline
GSM7953688,1_DR0401_Baseline_lib40989,CD4 T cell,1,DR0401,FALSE,Baseline
GSM7953689,1_DR0401_Baseline_lib40990,CD4 T cell,1,DR0401,FALSE,Baseline
GSM7953690,1_DR0401_Baseline_lib40991,CD4 T cell,1,DR0401,FALSE,Baseline
GSM7953691,1_DR0401_Baseline_lib40992,CD4 T cell,1,DR0401,FALSE,Baseline
GSM7953692,1_DR0401_Baseline_lib40993,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953693,1_DR0401_Baseline_lib40994,CD4 T cell,1,DR0401,FALSE,Baseline
GSM7953694,1_DR0401_Baseline_lib40996,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953695,1_DR0401_Baseline_lib40997,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953696,1_DR0401_Baseline_lib40998,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953697,1_DR0401_Baseline_lib40999,CD4 T cell,1,DR0401,FALSE,Baseline
GSM7953698,1_DR0401_Baseline_lib41000,CD4 T cell,1,DR0401,FALSE,Baseline
GSM7953699,1_DR0401_Baseline_lib41001,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953700,1_DR0401_Baseline_lib41002,CD4 T cell,1,DR0401,FALSE,Baseline
GSM7953701,1_DR0401_Baseline_lib41003,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953702,1_DR0401_Baseline_lib41004,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953703,1_DR0401_Baseline_lib41005,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953704,1_DR0401_Baseline_lib41006,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953705,1_DR0401_Baseline_lib41007,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953706,1_DR0401_Baseline_lib41008,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953707,1_DR0401_Baseline_lib41009,CD4 T cell,1,DR0401,TRUE,Baseline
GSM7953708,1_DR0401_Baseline_lib41010,CD4 T cell,1,DR0401,TRUE,Baseline
