gene_id,ensembl_id,symbol,log2FC_HZ,padj_HZ
ENSG00000133105,ENSG00000133105,PTEN,-0.524478789041166,0.0015448103995848
ENSG00000145703,ENSG00000145703,C19orf12,-0.280341462935072,0.0015658763725434
ENSG00000087589,ENSG00000087589,CPPED1,-0.305613402511052,0.0015906093881157
ENSG00000145819,ENSG00000145819,RXFP2,-0.468275396051378,0.0015906093881157
ENSG00000155849,ENSG00000155849,GLT1D1,-0.296895201206895,0.0016150870967502
ENSG00000100784,ENSG00000100784,EVI5,-0.37886996101309,0.0016206714927796
ENSG00000110448,ENSG00000110448,MCM4,0.312556236274455,0.0016445170168011
ENSG00000123066,ENSG00000123066,CPQ,-0.434527006199353,0.0016579610380223
ENSG00000176788,ENSG00000176788,MAILR,-0.460862601118226,0.0016684337205329
ENSG00000227598,ENSG00000227598,TPX2,-0.286988028184473,0.0016733151320573
ENSG00000103381,ENSG00000103381,SYTL3,-0.386968086120569,0.0016733151320573
ENSG00000131943,ENSG00000131943,JADE1,0.281369657296813,0.0017347177094916
ENSG00000111110,ENSG00000111110,FRY,-0.357918945005373,0.0017384796165461
ENSG00000104324,ENSG00000104324,KIAA0232,-0.498056351893228,0.0017480519552782
ENSG00000087088,ENSG00000087088,IGHM,0.492957405972721,0.0017480519552782
ENSG00000067208,ENSG00000067208,PPP1CB,-0.43296198253904,0.0017501355355284
ENSG00000084676,ENSG00000084676,LOC100288637,-0.377210538091743,0.0017939303042239
ENSG00000022567,ENSG00000022567,FBXL13,-0.390213274647894,0.0017979522614737
ENSG00000165891,ENSG00000165891,,0.808777453522499,
ENSG00000279511,ENSG00000279511,BAX,-0.831604841637088,0.0018306779520297
ENSG00000229809,ENSG00000229809,CSGALNACT1,0.662454891054262,
ENSG00000175711,ENSG00000175711,ATP5PF,-0.402790527635566,0.0018438020712609
ENSG00000196126,ENSG00000196126,PTPN12,0.31230634389828,0.0018438020712609
ENSG00000164674,ENSG00000164674,SLMAP,-0.294584126357519,0.0018438020712609
ENSG00000171862,ENSG00000171862,QTGAL,-0.372823954396294,0.0018438020712609
ENSG00000182389,ENSG00000182389,SMAP2,-0.589380529114181,0.0018464291941096
ENSG00000112742,ENSG00000112742,,1.14085927550519,
ENSG00000163235,ENSG00000163235,SKAP2,-0.448883890875708,0.0018778470125695
ENSG00000187546,ENSG00000187546,TNFRSF10B-AS1,-0.568119363315202,0.0018778470125695
ENSG00000110777,ENSG00000110777,ZNF688,0.416486375528094,0.0019074655016301
ENSG00000161040,ENSG00000161040,LGALSL-DT,-0.430527970296033,0.0019074655016301
ENSG00000196642,ENSG00000196642,EML2,0.31811296170777,0.0019186152969695
ENSG00000127947,ENSG00000127947,CD8A,-0.303196059190687,0.0019501665003411
ENSG00000197971,ENSG00000197971,HLA-DRB1,-0.246355918947635,0.0019543565588796
ENSG00000187951,ENSG00000187951,POU2AF1,0.434061818851869,0.0019981548113643
ENSG00000170871,ENSG00000170871,RABL6,-0.278743258309788,0.0019981548113643
ENSG00000179348,ENSG00000179348,NSUN7,-0.577334029750219,0.0019981548113643
ENSG00000223935,ENSG00000223935,SERPING1,-0.483649054580082,0.0020185926010998
ENSG00000153563,ENSG00000153563,TGFA,0.519578092000743,0.0020185926010998
