"symbol","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CHPF","ENSG00000123989",2.45079530539264,1.00360340161115,0.412155180766287,2.43501343291435,0.0148912368753191,NA
"RPSAP54","ENSG00000213621",6.57759756365006,0.99422654011166,0.36474895710601,2.72578309202047,0.00641491394945383,NA
"ZNF22","ENSG00000165512",1.96258946622926,0.983599717805065,0.424735402230383,2.31579405116682,0.0205695162026018,NA
"RPS12P24","ENSG00000230283",5.05984722802272,-0.98207871116845,0.341557655399297,-2.87529409938229,0.00403651320406584,NA
"IFIT5","ENSG00000152778",56.1561329294358,0.976892797947013,0.223641614091107,4.36811727511968,1.25322197298433e-05,0.00342106390810408
"ERICH3","ENSG00000178965",2.31260929739148,0.973419506232625,0.347720337676808,2.79943218948953,0.00511925676299946,NA
"CBX2","ENSG00000173894",2.41538109220003,0.966082305359638,0.403895805626486,2.39190972498746,0.0167609644053318,NA
"HLA-DQA1","ENSG00000237541",2.94832511338539,0.965700467681974,0.485336526299141,1.98975435672599,0.0466180016387993,NA
"MX1","ENSG00000157601",451.844661870945,0.964418325947103,0.319814864760279,3.01555190897707,0.00256512027601333,0.0613349831887173
"ARL14EPL","ENSG00000268223",56.5757545717187,0.960286315082587,0.366558449123239,2.61973586307851,0.0087997896263005,0.118463651946389
"SIT1","ENSG00000137078",60.5143958851637,0.954994845636725,0.209273571106552,4.56338007989784,5.03365668892375e-06,0.00176669364884345
"LOC124909426","ENSG00000287232",2.88247899928228,0.952010979188774,0.371744299892531,2.56092959451965,0.0104392509462025,NA
"HMMR","ENSG00000072571",9.88512022744343,0.944614561657273,0.254484925726354,3.71186842977494,0.000205734928282473,NA
"CD274","ENSG00000120217",25.7033521105034,0.932875179846136,0.310259404355986,3.00675875331654,0.00264049223839779,0.0618362161526833
"PERP","ENSG00000112378",8.06132391154795,0.931743048416109,0.267469806199629,3.48354478456792,0.000494820326565117,NA
"MCM4","ENSG00000104738",20.60907393944,0.931558500171806,0.195632225756806,4.7617844992974,1.91888534989775e-06,0.000969771470736703
"USP18","ENSG00000184979",49.3890094672086,0.91906881677944,0.250065143257198,3.67531757848456,0.000237553730185577,0.0180142305580995
"LINC02654","ENSG00000226140",2.7750713114042,-0.914838889051333,0.391833072397419,-2.33476690329869,0.0195556010590881,NA
"LOC107987423","ENSG00000228695",4.68276129167961,0.913894368053872,0.392796485370928,2.32663580783025,0.0199846570348059,NA
"RPS15AP19","ENSG00000219023",3.07140715129973,0.904082081604287,0.436552339199223,2.07095919646809,0.0383626093716627,NA
"NICOL1","ENSG00000243449",16.8573404491944,0.90400024320699,0.208973624562079,4.32590593717937,1.51906239377272e-05,0.00359518125157584
"SYPL2","ENSG00000143028",3.41629788194393,0.90282749817355,0.358914074117398,2.51544189342166,0.0118883272297099,NA
"TMEM121","ENSG00000184986",2.9880269685872,0.900045970210608,0.376972752008232,2.38756240448634,0.0169605230367479,NA
"VAMP5","ENSG00000168899",42.9002694883861,0.899027168256637,0.202343688889123,4.4430699726408,8.86843082314303e-06,0.00284194649486851
"CCNB1","ENSG00000134057",8.04789233017636,0.896806744775292,0.215620286121324,4.15919466997962,3.19371625394807e-05,NA
"PNMA6A","ENSG00000235961",3.1418864490049,-0.894825951493252,0.377577055675428,-2.3699161218696,0.0177921211349853,NA
"RRM2","ENSG00000171848",65.1192378206739,0.893955338928501,0.173243219142119,5.1601173388215,2.46795112398511e-07,0.000303167229322205
"BPIFB5P","ENSG00000233146",2.85813598880978,0.888902251466393,0.318231940212159,2.7932527793212,0.00521808980245851,NA
"LIPM","ENSG00000173239",6.6921004687154,0.888100933528712,0.384030242716314,2.31258071564108,0.0207457028059501,NA
"NRN1","ENSG00000124785",2.77319818204084,0.88751837120298,0.373675087478775,2.37510714773939,0.0175438566287384,NA
"CDC6","ENSG00000094804",7.02573664432559,0.881111685968186,0.232376602982458,3.79174010919981,0.000149595418896399,NA
"LAG3","ENSG00000089692",13.9365606323218,0.878077999150434,0.284407240103504,3.08739678649135,0.00201917877817827,0.0539593254813248
"IGHG2","ENSG00000211893",34.2393759325238,0.877645480474557,0.344111900781714,2.55046535292973,0.0107579216386755,0.131936975250479
"RNY3","ENSG00000202354",3.38426846499548,0.876600928059526,0.382147307726106,2.29388225518471,0.0217972629502314,NA
"PSME2","ENSG00000100911",189.140909659535,0.872433616735015,0.184637541131005,4.72511500852364,2.29985158336029e-06,0.00104584632592612
"SLCO4A1","ENSG00000101187",3.74469729203118,0.871550432793035,0.299664077458895,2.90842479413498,0.00363254535975134,NA
"LAP3","ENSG00000002549",95.2711565305893,0.870658107667629,0.216663403915276,4.01848254912534,5.85741463777705e-05,0.00854892566093778
"E2F7","ENSG00000165891",10.9143133213035,0.863758439135144,0.224723425101941,3.84365109575612,0.000121217309750457,NA
"TAF11L2","ENSG00000284373",3.65915260496682,-0.856832921585024,0.337147414790878,-2.54141922493012,0.0110403453226878,NA
"RPL39","ENSG00000198918",941.227442383169,0.855827376587059,0.23551152561983,3.63390867744011,0.000279159705335997,0.0198104363691437
"HEY1","ENSG00000164683",2.30903648273241,-0.855767435811226,0.42450117166339,-2.01593656963993,0.0438066089892289,NA
"CETP","ENSG00000087237",260.58267132591,0.853366810108964,0.173712784415112,4.91251586912406,8.99151031726787e-07,0.000602472061758389
"SCRN2","ENSG00000141295",5.71809816221124,0.853091867832262,0.253494081425753,3.36533248837263,0.000764514727162594,NA
"RPL27","ENSG00000131469",465.462232699635,0.852766674611358,0.26423761917415,3.22727201855891,0.00124976588346956,0.0430439226360394
"LOC105377043","ENSG00000231873",45.0950032159347,0.85026920115441,0.259769693270792,3.27316551229887,0.00106350182086271,0.040509251528003
"ACP2","ENSG00000134575",110.702823856089,0.849046674986654,0.228546414454034,3.7149857590849,0.000203215138806068,0.0162779247942631
"CD52","ENSG00000169442",843.256980561964,0.848114133800528,0.19801798330961,4.28301571213592,1.84377146116739e-05,0.00390449334323446
"GCOM1","ENSG00000137878",2.82461475076635,0.847254152911255,0.363263471256887,2.33234062863455,0.0196827787752815,NA
"CTSL","ENSG00000135047",14.6375444979939,0.846446376132195,0.218460704158613,3.87459327933701,0.00010680292794992,0.0114085649341288
"NAP1L2","ENSG00000186462",12.1439750557633,0.842733068887165,0.276830205648113,3.04422368546873,0.00233281617243722,0.0582848189794866
"LINC01260","ENSG00000244558",8.13957957300167,0.842724432777618,0.240173877832852,3.50880970229456,0.000450116838940839,NA
"ARL4D","ENSG00000175906",2.63876159327269,0.841588899553282,0.372534477433227,2.25908996491239,0.023877789244355,NA
"ARMC9","ENSG00000135931",142.151634349679,0.832492113268488,0.287861985822923,2.89198349996998,0.00382818051209786,0.0761883247101191
"ISOC2","ENSG00000063241",10.1471903368416,0.832336265178185,0.19666947010417,4.23215796909057,2.31459742380409e-05,NA
"DSG1-AS1","ENSG00000266729",3.66086454639059,0.83167618438699,0.350388499829055,2.37358299371338,0.0176164335249273,NA
"RN7SL385P","ENSG00000241333",6.20732734830817,0.825573502493795,0.324740131870521,2.54225893713366,0.0110138545871593,NA
"UBE2C","ENSG00000175063",4.36416998623388,0.823621926068577,0.270078047401062,3.04957005574581,0.00229169178147075,NA
"FKBPL","ENSG00000204315",4.80839503455606,0.822956442606326,0.265873297390967,3.09529558132408,0.0019661685038363,NA
"OASL","ENSG00000135114",111.277031018497,0.818924922826977,0.217336072901755,3.7680119636521,0.000164552818098808,0.0145249885724223
