Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Positive Regulation Of Epidermal Growth Factor-Activated Receptor Activity (GO:0045741),1/10,0.0402604390785998,0.1666635726891738,0,0,27.310013717421125,87.73030443537515,TGFA
GO_Biological_Process_2023,Negative Regulation Of Protein Modification Process (GO:0031400),2/78,0.0408010302043724,0.1666635726891738,0,0,6.526973684210526,20.88010176971145,NIBAN1;PID1
GO_Biological_Process_2023,Regulation Of Cytokinesis (GO:0032465),2/80,0.0427107956871886,0.1666635726891738,0,0,6.358974358974359,20.051776511477343,SVIL;PKP4
GO_Biological_Process_2023,Endocytosis (GO:0006897),3/189,0.0427282176690247,0.1666635726891738,0,0,4.028583095140874,12.70170248560491,IL10RA;REPS2;RHOU
GO_Biological_Process_2023,Cytoskeleton-Dependent Cytokinesis (GO:0061640),2/81,0.0436780788630737,0.1666635726891738,0,0,6.278164556962025,19.65636147907597,KIF4A;STMN1
GO_Biological_Process_2023,Negative Regulation Of Glucose Transmembrane Transport (GO:0010829),1/11,0.0441973291518992,0.1666635726891738,0,0,24.57777777777778,76.6603234550211,PID1
GO_Biological_Process_2023,Negative Regulation Of Microtubule Polymerization (GO:0031115),1/11,0.0441973291518992,0.1666635726891738,0,0,24.57777777777778,76.6603234550211,STMN1
GO_Biological_Process_2023,Regulation Of Mitochondrial Fusion (GO:0010635),1/11,0.0441973291518992,0.1666635726891738,0,0,24.57777777777778,76.6603234550211,PID1
GO_Biological_Process_2023,Isotype Switching (GO:0045190),1/11,0.0441973291518992,0.1666635726891738,0,0,24.57777777777778,76.6603234550211,EXOSC6
GO_Biological_Process_2023,Positive Regulation Of Triglyceride Biosynthetic Process (GO:0010867),1/11,0.0441973291518992,0.1666635726891738,0,0,24.57777777777778,76.6603234550211,PLIN5
GO_Biological_Process_2023,Positive Regulation Of Vascular Permeability (GO:0043117),1/11,0.0441973291518992,0.1666635726891738,0,0,24.57777777777778,76.6603234550211,BMP6
GO_Biological_Process_2023,cGMP Metabolic Process (GO:0046068),1/11,0.0441973291518992,0.1666635726891738,0,0,24.57777777777778,76.6603234550211,GUCY1B1
GO_Biological_Process_2023,Cell Part Morphogenesis (GO:0032990),1/11,0.0441973291518992,0.1666635726891738,0,0,24.57777777777778,76.6603234550211,PID1
GO_Biological_Process_2023,Complement Receptor Mediated Signaling Pathway (GO:0002430),1/11,0.0441973291518992,0.1666635726891738,0,0,24.57777777777778,76.6603234550211,CR1
GO_Biological_Process_2023,Response To Nitric Oxide (GO:0071731),1/11,0.0441973291518992,0.1666635726891738,0,0,24.57777777777778,76.6603234550211,GUCY1B1
GO_Biological_Process_2023,Endoplasmic Reticulum Membrane Organization (GO:0090158),1/11,0.0441973291518992,0.1666635726891738,0,0,24.57777777777778,76.6603234550211,RTN4
GO_Biological_Process_2023,sno(s)RNA 3'-End Processing (GO:0031126),1/11,0.0441973291518992,0.1666635726891738,0,0,24.57777777777778,76.6603234550211,EXOSC6
GO_Biological_Process_2023,Neuron Projection Development (GO:0031175),3/192,0.0444223569745759,0.1666635726891738,0,0,3.964034558971268,12.344052773883764,PRMT1;STMN1;RAPGEF2
GO_Biological_Process_2023,Cellular Response To Organic Substance (GO:0071310),2/82,0.0446535196884998,0.1666635726891738,0,0,6.199375,19.27275429356928,PID1;KHSRP
GO_Biological_Process_2023,Protein-Containing Complex Assembly (GO:0065003),4/328,0.0458937172304562,0.1666635726891738,0,0,3.101297879075657,9.556423177157669,CENPE;TRAPPC2L;FCHO2;REPS2
GO_Biological_Process_2023,Positive Regulation Of Protein Metabolic Process (GO:0051247),3/196,0.0467328672924972,0.1666635726891738,0,0,3.881091362235194,11.888976532109076,NIBAN1;PRMT1;PLD1
GO_Biological_Process_2023,Positive Regulation Of Gene Expression (GO:0010628),5/480,0.0472985622482876,0.1666635726891738,0,0,2.657963089542037,8.11017733710058,NIBAN1;PID1;PRMT1;PLD1;BMP6
GO_Biological_Process_2023,Establishment Of Protein Localization To Organelle (GO:0072594),2/85,0.0476279773806445,0.1666635726891738,0,0,5.974397590361446,18.188067271900238,IL10RA;E2F3
GO_Biological_Process_2023,Regulation Of Osteoblast Differentiation (GO:0045667),2/85,0.0476279773806445,0.1666635726891738,0,0,5.974397590361446,18.188067271900238,RUNX2;BMP6
GO_Biological_Process_2023,DNA Conformation Change (GO:0071103),1/12,0.0481182666384021,0.1666635726891738,0,0,22.34231200897868,67.78866163441084,TOP2A
GO_Biological_Process_2023,DNA Deamination (GO:0045006),1/12,0.0481182666384021,0.1666635726891738,0,0,22.34231200897868,67.78866163441084,EXOSC6
GO_Biological_Process_2023,Positive Regulation Of mRNA Metabolic Process (GO:1903313),1/12,0.0481182666384021,0.1666635726891738,0,0,22.34231200897868,67.78866163441084,KHSRP
GO_Biological_Process_2023,Positive Regulation Of Neuron Migration (GO:2001224),1/12,0.0481182666384021,0.1666635726891738,0,0,22.34231200897868,67.78866163441084,RAPGEF2
GO_Biological_Process_2023,Positive Regulation Of Purine Nucleotide Biosynthetic Process (GO:1900373),1/12,0.0481182666384021,0.1666635726891738,0,0,22.34231200897868,67.78866163441084,PID1
GO_Biological_Process_2023,Attachment Of Mitotic Spindle Microtubules To Kinetochore (GO:0051315),1/12,0.0481182666384021,0.1666635726891738,0,0,22.34231200897868,67.78866163441084,CENPE
GO_Biological_Process_2023,Axonal Fasciculation (GO:0007413),1/12,0.0481182666384021,0.1666635726891738,0,0,22.34231200897868,67.78866163441084,RTN4
GO_Biological_Process_2023,Organophosphate Catabolic Process (GO:0046434),1/12,0.0481182666384021,0.1666635726891738,0,0,22.34231200897868,67.78866163441084,PLD1
GO_Biological_Process_2023,Polysaccharide Biosynthetic Process (GO:0000271),1/12,0.0481182666384021,0.1666635726891738,0,0,22.34231200897868,67.78866163441084,HS2ST1
GO_Biological_Process_2023,Positive Regulation Of T-helper 1 Type Immune Response (GO:0002827),1/12,0.0481182666384021,0.1666635726891738,0,0,22.34231200897868,67.78866163441084,IL1R1
GO_Biological_Process_2023,Positive Regulation Of Alcohol Biosynthetic Process (GO:1902932),1/12,0.0481182666384021,0.1666635726891738,0,0,22.34231200897868,67.78866163441084,BMP6
GO_Biological_Process_2023,Negative Regulation By Host Of Viral Process (GO:0044793),1/12,0.0481182666384021,0.1666635726891738,0,0,22.34231200897868,67.78866163441084,PSMC3
GO_Biological_Process_2023,Negative Regulation By Host Of Viral Transcription (GO:0043922),1/12,0.0481182666384021,0.1666635726891738,0,0,22.34231200897868,67.78866163441084,PSMC3
GO_Biological_Process_2023,Response To Interleukin-6 (GO:0070741),1/12,0.0481182666384021,0.1666635726891738,0,0,22.34231200897868,67.78866163441084,PID1
GO_Biological_Process_2023,Response To Iron Ion (GO:0010039),1/12,0.0481182666384021,0.1666635726891738,0,0,22.34231200897868,67.78866163441084,BMP6
GO_Biological_Process_2023,Negative Regulation Of Complement Activation (GO:0045916),1/12,0.0481182666384021,0.1666635726891738,0,0,22.34231200897868,67.78866163441084,CR1
GO_Biological_Process_2023,Positive Regulation Of Fatty Acid Oxidation (GO:0046321),1/12,0.0481182666384021,0.1666635726891738,0,0,22.34231200897868,67.78866163441084,PLIN5
GO_Biological_Process_2023,Positive Regulation Of Cell Population Proliferation (GO:0008284),5/483,0.0483487072794256,0.1666635726891738,0,0,2.640873770580884,8.000040623613117,PID1;CR1;PRMT1;TGFA;BMP6
